id_account,nome_club,nome_account_locale,identificativo_lions,tipo,circoscrizione,zona,distretto,multidistretto,id_organizzazione_appartenenza,parent_parent_id,parent_district_id,id_md_appartenenza,identificativo_lions_affiliato
001Ns00000EDS2N,FIRENZE POGGIO IMPERIALE,FIRENZE POGGIO IMPERIALE,84429,Lions Club,1° circoscrizione,Zone: A,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDpJD,FIRENZE PONTE VECCHIO,FIRENZE PONTE VECCHIO,47989,Lions Club,2° Circoscrizione,Zone: C,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDh1y,FIRENZE-SCANDICCI,FIRENZE-SCANDICCI,33444,Lions Club,2° Circoscrizione,Zone: D,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDOfU,Forte Dei Marmi,Forte Dei Marmi,124251,Lions Club,4° circoscrizione,Zone: H,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDlRD,GARFAGNANA,GARFAGNANA,21183,Lions Club,4° circoscrizione,Zone: G,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDlRE,GROSSETO HOST,GROSSETO HOST,21184,Lions Club,6° circoscrizione,Zone: M,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDlRF,ISOLA D'ELBA,ISOLA D'ELBA,21185,Lions Club,5° circoscrizione,Zone: L,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDlRJ,LE SIGNE,LE SIGNE,21190,Lions Club,2° Circoscrizione,Zone: D,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDlRK,LIVORNO HOST,LIVORNO HOST,21191,Lions Club,5° circoscrizione,Zone: L,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDS6e,LIVORNO PORTO MEDICEO,LIVORNO PORTO MEDICEO,61793,Lions Club,5° circoscrizione,Zone: L,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDlRL,LUCCA HOST,LUCCA HOST,21192,Lions Club,4° circoscrizione,Zone: G,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDp9b,LUCCA LE MURA,LUCCA LE MURA,57298,Lions Club,4° circoscrizione,Zone: G,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDIcl,LUCIGNANO E VAL D'ESSE,LUCIGNANO E VAL D'ESSE,59292,Lions Club,7° circoscrizione,Zone: Q,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000Mzgc3,Marliana Nievole Ombrone,Marliana Nievole Ombrone,177237,Lions Club,3° Circoscrizione,Zone: F,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDlRN,MASSA-CARRARA HOST,MASSA-CARRARA HOST,21194,Lions Club,4° circoscrizione,Zone: H,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDYvP,MASSA COZZILE VALDINIEVOLE,MASSA COZZILE VALDINIEVOLE,106846,Lions Club,3° Circoscrizione,Zone: F,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDXlM,MASSA E CARRARA APUANIA,MASSA E CARRARA APUANIA,52727,Lions Club,4° circoscrizione,Zone: H,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDgd7,MASSAROSA,MASSAROSA,108911,Lions Club,4° circoscrizione,Zone: H,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDR7k,Monsummano Terme - Giuseppe Giusti,Monsummano Terme - Giuseppe Giusti,155646,Lions Club,3° Circoscrizione,Zone: F,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDS53,MONTALCINO VALLI D'ARBIA E D'ORCIA,MONTALCINO VALLI D'ARBIA E D'ORCIA,51267,Lions Club,6° circoscrizione,Zone: N,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDlRP,MONTECATINI TERME,MONTECATINI TERME,21196,Lions Club,3° Circoscrizione,Zone: F,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000IHz39,Montecatini Terme Castello,Montecatini Terme Castello,171958,Lions Club,3° Circoscrizione,Zone: F,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDcQM,Montemurlo,Montemurlo,127181,Lions Club,3° Circoscrizione,Zone: E,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDoAM,MUGELLO,MUGELLO,35964,Lions Club,2° Circoscrizione,Zone: C,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDRK8,ORBETELLO I PRESIDI,ORBETELLO I PRESIDI,41041,Lions Club,6° circoscrizione,Zone: M,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
